player_id,name,recent_team,season,week,position_wr,position_te,season_tot_receptions,season_tot_targets,season_tot_receiving_yards,season_tot_receiving_tds,season_tot_receiving_air_yards,season_avg_racr,season_avg_tgt_share,season_avg_air_yards_share,season_avg_wopr,season_avg_fantasy_points_ppr,recent_racr,recent_tgt_share,recent_air_yards_share,recent_wopr,recent_fantasy_points_ppr,career_fpts,actual_fantasy_pts
00-0036628,John Bates,WAS,2022,5,0,1,6,11,34,0,29,1.17,0.07,0.02,0.11,2.35,1.17,0.08,0.03,0.14,3.13,4.02,5.90
00-0036635,Ihmir Smith-Marsette,CHI,2022,5,1,0,0,1,0,0,4,0.00,0.05,0.02,0.09,0.00,0.00,0.05,0.02,0.09,0.00,7.15,0.00
00-0036637,Noah Gray,KC,2022,5,0,1,4,8,48,0,52,0.92,0.06,0.05,0.12,3.72,0.73,0.06,0.05,0.12,4.30,2.68,6.10
00-0036862,Ben Skowronek,LA,2022,5,1,0,12,16,140,0,156,0.90,0.11,0.16,0.28,6.50,0.74,0.09,0.13,0.23,6.50,4.12,5.30
00-0036876,Kylen Granson,IND,2022,5,0,1,11,15,105,0,80,1.31,0.10,0.08,0.21,5.37,1.04,0.08,0.07,0.17,5.43,3.08,10.20
00-0036894,Pat Freiermuth,PIT,2022,5,0,1,18,30,223,1,246,0.91,0.24,0.20,0.50,11.57,0.60,0.22,0.18,0.47,11.27,9.74,15.50
00-0036900,Ja'Marr Chase,CIN,2022,5,1,0,25,41,293,2,400,0.73,0.26,0.35,0.64,16.13,0.41,0.25,0.36,0.62,11.87,17.60,12.10
00-0036912,DeVonta Smith,PHI,2022,5,1,0,18,27,266,1,319,0.83,0.23,0.33,0.57,12.65,0.83,0.26,0.35,0.64,16.87,11.28,4.70
00-0036936,Rondale Moore,ARI,2022,5,1,0,3,5,11,0,58,0.19,0.16,0.32,0.47,3.70,0.19,0.16,0.32,0.47,3.70,7.69,3.70
00-0036959,Michael Bandy,LAC,2022,5,1,0,2,2,49,0,43,1.14,0.05,0.16,0.19,6.90,1.14,0.05,0.16,0.19,6.90,6.90,6.90
00-0036970,Kyle Pitts,ATL,2022,5,0,1,10,22,150,0,346,0.43,0.23,0.33,0.58,6.25,0.38,0.24,0.34,0.60,7.03,9.60,3.50
00-0036980,Elijah Moore,NYJ,2022,5,1,0,15,25,192,0,367,0.52,0.14,0.25,0.38,8.45,0.39,0.14,0.26,0.40,7.97,11.47,8.50
00-0036988,Josh Palmer,LAC,2022,5,1,0,14,22,159,1,148,1.07,0.14,0.14,0.30,9.07,1.04,0.15,0.16,0.33,10.80,6.80,3.50
00-0037005,Tommy Tremble,CAR,2022,5,0,1,5,8,42,0,51,0.82,0.09,0.09,0.21,3.07,0.82,0.09,0.09,0.21,3.07,3.66,6.40
00-0037011,Tre' McKitty,LAC,2022,5,0,1,4,5,28,0,16,1.75,0.07,0.03,0.13,3.40,1.75,0.07,0.03,0.13,3.40,2.16,1.40
