player_id,name,recent_team,season,week,years_exp,position_wr,position_te,season_tot_receptions,season_tot_targets,season_tot_receiving_yards,season_tot_receiving_tds,season_tot_receiving_air_yards,season_avg_racr,season_avg_tgt_share,season_avg_air_yards_share,season_avg_wopr,season_avg_fantasy_points_ppr,recent_racr,recent_tgt_share,recent_air_yards_share,recent_wopr,recent_fantasy_points_ppr,lw_fpts,lw_wopr,career_fpts,actual_fantasy_pts
00-0034983,Hunter Renfrow,LV,2022,6,3,1,0,14,20,105,0,72,1.46,0.20,0.08,0.36,7.50,1.46,0.20,0.08,0.36,7.50,6.50,0.27,11.21,6.50
00-0035021,Ashton Dulin,IND,2022,6,3,1,0,12,18,168,0,215,0.78,0.10,0.18,0.27,5.82,0.20,0.05,0.06,0.11,2.77,2.80,0.09,3.13,2.80
00-0035022,Penny Hart,SEA,2022,6,3,1,0,1,1,15,0,7,2.14,0.02,0.02,0.05,2.50,2.14,0.02,0.02,0.05,2.50,2.50,0.05,1.69,2.50
00-0035140,Mecole Hardman,KC,2022,6,3,1,0,12,17,144,1,187,0.77,0.09,0.14,0.24,6.54,0.42,0.06,0.07,0.14,4.87,12.00,0.33,7.99,12.00
00-0035208,Olamide Zaccheaus,ATL,2022,6,3,1,0,12,14,213,2,177,1.20,0.12,0.14,0.28,8.66,0.81,0.13,0.16,0.31,8.77,11.90,0.38,6.45,11.90
00-0035215,Deonte Harty,NO,2022,6,3,1,0,2,2,13,0,5,2.60,0.03,0.01,0.05,1.65,2.60,0.03,0.01,0.05,1.65,1.90,0.05,5.93,1.90
00-0035216,Diontae Johnson,PIT,2022,6,3,1,0,28,50,267,0,562,0.48,0.28,0.35,0.67,11.56,0.28,0.26,0.31,0.61,10.53,11.00,0.68,14.04,11.00
00-0035222,Zach Gentry,PIT,2022,6,3,0,1,8,9,85,0,18,4.72,0.08,0.02,0.13,5.50,4.72,0.08,0.02,0.13,5.50,9.30,0.22,4.06,9.30
00-0035229,T.J. Hockenson,DET,2022,6,3,0,1,19,34,267,3,266,1.00,0.19,0.16,0.40,13.14,0.76,0.19,0.17,0.40,17.43,1.60,0.31,10.38,1.60
00-0035249,Josh Oliver,BAL,2022,6,3,0,1,2,3,8,1,-7,-1.14,0.06,-0.01,0.07,4.40,-1.14,0.06,-0.01,0.07,4.40,0.00,0.04,1.93,0.00
00-0035259,Trevon Wesco,CHI,2022,6,3,0,1,1,2,23,0,15,1.53,0.10,0.08,0.20,3.30,1.53,0.10,0.08,0.20,3.30,3.30,0.20,1.82,3.30
00-0035298,Scott Miller,TB,2022,6,3,1,0,8,20,73,0,307,0.24,0.16,0.35,0.49,5.37,0.24,0.16,0.35,0.49,5.37,7.50,0.47,5.60,7.50
00-0035329,Donald Parham,LAC,2022,6,3,0,1,0,1,0,0,9,0.00,0.03,0.05,0.08,0.00,0.00,0.03,0.05,0.08,0.00,0.00,0.08,4.47,0.00
00-0035345,Chris Myarick,NYG,2022,6,3,0,1,3,3,11,1,3,3.67,0.04,0.01,0.06,3.37,3.67,0.04,0.01,0.06,3.37,1.40,0.05,2.97,1.40
00-0035359,David Sills,NYG,2022,6,3,1,0,8,12,74,0,92,0.80,0.11,0.13,0.26,3.85,0.40,0.11,0.13,0.25,2.90,3.20,0.13,2.39,3.20
00-0035399,Stanley Morgan,CIN,2022,6,3,1,0,0,1,0,0,0,0.00,0.03,0.00,0.04,0.00,0.00,0.03,0.00,0.04,0.00,0.00,0.04,0.91,0.00
00-0035406,Lil'Jordan Humphrey,NE,2022,6,3,1,0,2,4,20,0,27,0.74,0.05,0.03,0.09,1.33,0.74,0.05,0.03,0.09,1.33,1.90,0.06,4.99,1.90
00-0035414,Jalen Guyton,LAC,2022,6,3,1,0,2,4,64,0,115,0.56,0.05,0.20,0.22,4.20,0.56,0.05,0.20,0.22,4.20,8.40,0.28,5.79,8.40
00-0035500,Greg Dortch,ARI,2022,6,3,1,0,21,24,204,1,127,1.61,0.14,0.12,0.30,11.85,1.11,0.11,0.09,0.23,11.37,1.60,0.07,9.05,1.60
00-0035510,Jeff Smith,NYJ,2022,6,3,1,0,2,3,28,0,36,0.78,0.03,0.04,0.07,1.60,0.78,0.03,0.04,0.07,1.60,2.10,0.08,3.00,2.10
00-0035527,Andy Isabella,ARI,2022,6,3,1,0,2,5,21,0,70,0.30,0.05,0.12,0.16,2.05,0.30,0.05,0.12,0.16,2.05,2.10,0.14,4.20,2.10
00-0035535,Darius Slayton,NYG,2022,6,3,1,0,7,9,90,0,136,0.66,0.22,0.48,0.66,8.00,0.66,0.22,0.48,0.66,8.00,13.90,0.78,8.79,13.90
00-0035544,Tom Kennedy,DET,2022,6,3,1,0,3,5,54,0,73,0.74,0.13,0.19,0.32,8.40,0.74,0.13,0.19,0.32,8.40,8.40,0.32,3.83,8.40
00-0035547,Jody Fortson,KC,2022,6,3,0,1,2,3,11,2,9,1.22,0.03,0.01,0.05,5.03,1.22,0.03,0.01,0.05,5.03,8.00,0.06,5.26,8.00
00-0035562,Jesper Horsted,LV,2022,6,3,0,1,3,3,19,0,13,1.46,0.11,0.04,0.20,4.90,1.46,0.11,0.04,0.20,4.90,4.90,0.20,4.86,4.90
00-0035572,Parker Hesse,ATL,2022,6,3,0,1,4,5,41,0,36,1.14,0.05,0.04,0.10,2.03,1.00,0.04,0.04,0.10,2.20,1.90,0.08,2.17,1.90
00-0035593,Juwann Winfree,GB,2022,6,3,1,0,1,3,17,0,51,0.33,0.04,0.13,0.16,1.35,0.33,0.04,0.13,0.16,1.35,0.00,0.24,2.07,0.00
00-0035603,Kendall Blanton,LA,2022,6,3,0,1,2,2,35,0,12,2.92,0.03,0.03,0.06,2.75,2.92,0.03,0.03,0.06,2.75,1.70,0.05,4.21,1.70
